Wall time,Step,Value
1724429178.928319,3799,-1.5829204320907593
1724429180.6858969,3819,-1.0491464138031006
1724429181.5603049,3829,-1.7093347311019897
1724429183.294473,3849,-0.7610034346580505
1724429184.172447,3859,-1.801270842552185
1724429185.0152168,3869,-1.0570034980773926
1724429185.9343412,3879,-2.4570112228393555
1724429186.833005,3889,-1.435258150100708
1724429188.657307,3909,-1.7969970703125
1724429189.53559,3919,-1.4930626153945923
1724429190.455793,3929,-1.4744426012039185
1724429191.2857249,3939,-2.341952323913574
1724429193.041355,3959,-0.7535684704780579
1724429193.917044,3969,-1.2905094623565674
1724429194.7485912,3979,-1.48160982131958
1724429195.599956,3989,-1.3158212900161743
1724429196.5326579,3999,-1.3810933828353882
1724429198.385986,4019,-2.7460646629333496
1724429199.261983,4029,-1.7056620121002197
1724429200.230994,4039,-2.004683256149292
1724429202.079266,4059,-1.3944154977798462
1724429202.979758,4069,-1.8946092128753662
1724429204.785868,4089,-1.6286001205444336
1724429206.60764,4109,-1.0215054750442505
1724429207.4197829,4119,-1.1570965051651
1724429208.354651,4129,-1.253783941268921
1724429210.0916202,4149,-0.5253589749336243
1724429210.9680388,4159,-0.434959352016449
1724429211.889714,4169,-0.9427891373634338
1724429213.8134,4189,-2.0915889739990234
1724429214.816739,4199,-1.1684520244598389
1724429215.71201,4209,-1.3564350605010986
1724429216.6070678,4219,-0.5007818937301636
1724429217.5021272,4229,-1.4917986392974854
1724429218.3979,4239,-0.7066428661346436
1724429219.323453,4249,-1.8180558681488037
1724429221.1434371,4269,-1.014841914176941
1724429222.8983748,4289,-0.9097790718078613
1724429224.713683,4309,-0.9788330793380737
1724429226.4897568,4329,-1.6658644676208496
1724429229.207851,4359,-1.8776352405548096
1724429230.036507,4369,-2.1034350395202637
1724429231.890413,4389,-1.5808115005493164
1724429232.812129,4399,-1.9852418899536133
1724429233.6604328,4409,-1.103779911994934
1724429234.5575092,4419,-0.6069050431251526
1724429235.497903,4429,-1.618000864982605
1724429237.312374,4449,-1.417023777961731
1724429238.2103832,4459,-0.6853551268577576
1724429239.061544,4469,-2.3839504718780518
1724429239.8900979,4479,-1.4925588369369507
1724429240.765079,4489,-1.7999333143234253
1724429241.5945868,4499,-2.2635557651519775
1724429242.493212,4509,-2.161099672317505
1724429243.403287,4519,-1.9387173652648926
1724429244.2596312,4529,-1.2702604532241821
1724429245.158347,4539,-1.509807825088501
1724429246.080514,4549,-1.5287632942199707
1724429247.0008729,4559,-0.9435341954231262
1724429248.822826,4579,-1.2559043169021606
1724429249.677112,4589,-2.3216543197631836
1724429250.529548,4599,-0.9735777378082275
1724429251.382414,4609,-2.408656597137451
1724429252.2364259,4619,-0.4684034585952759
1724429253.092405,4629,-2.3235623836517334
1724429254.0017338,4639,-1.4926406145095825
1724429254.90083,4649,-1.3170779943466187
1724429255.777811,4659,-0.9739331603050232
1724429256.6730618,4669,-2.5654919147491455
1724429257.617944,4679,-1.5724328756332397
1724429258.495601,4689,-1.2005001306533813
